customer_id,first_name,last_name,email,phone,date_of_birth,address_line1,city,state,country,postal_code,loyalty_tier,customer_segment,email_opt_in,sms_opt_in,registration_date,updated_at
CUST-00001,Tanya,House,tanya.house70@gmail.com,(267) 736-0260,2007-08-31,4687 James Forge Apt. 980,Brianshire,NJ,US,66410,Bronze,Regular,True,True,2023-10-25,2024-11-26
CUST-00002,Amanda,Brown,amanda.brown9@hotmail.com,(219) 136-1939,1986-03-04,9985 Harris Stravenue,Johnfurt,DC,US,88540,Bronze,Regular,True,False,2022-04-13,2024-01-13
CUST-00003,Stephen,Hickman,stephen.hickman54@hotmail.com,(079) 911-8384,1960-10-03,35427 Carr Valley Apt. 841,West Darrell,CT,US,97811,Gold,High Value,True,True,2024-03-16,2024-08-23
CUST-00004,Joseph,Jacobs,joseph.jacobs98@icloud.com,(348) 740-1640,1953-09-01,427 Hoffman Creek,Lake Rebeccaside,AZ,US,48894,Bronze,New,True,True,2023-03-24,2024-04-04
CUST-00005,Earl,Anderson,earl.anderson54@icloud.com,(053) 315-8692,2004-05-22,26025 Pham Way,West Erik,UT,US,14669,Silver,Regular,True,False,2021-05-21,2022-10-07
CUST-00006,Benjamin,Ruiz,benjamin.ruiz29@outlook.com,(754) 330-3654,2001-01-04,8685 Darrell Green Apt. 940,New Ryanmouth,NE,US,79958,Bronze,New,True,True,2020-11-23,2024-12-07
CUST-00007,Darrell,Lam,darrell.lam52@yahoo.com,(060) 883-5615,1987-09-30,484 Nguyen Square,Angelaborough,MT,US,87654,Gold,Churned,True,True,2020-11-08,2024-10-01
CUST-00008,Erica,Orr,erica.orr51@icloud.com,(468) 044-3699,1989-06-25,7387 Donna Haven Suite 134,Port James,AK,US,06558,Silver,New,True,False,2022-10-07,2023-04-24
CUST-00009,Thomas,Atkinson,thomas.atkinson60@yahoo.com,(693) 676-3201,1996-04-14,87083 Stephen Unions,Contrerasside,PA,US,42089,Bronze,Regular,True,False,2020-04-29,2024-10-06
CUST-00010,Patricia,Salazar,patricia.salazar98@hotmail.com,(868) 727-7434,1995-08-05,347 Jennifer Freeway Suite 558,East Edwardfurt,UT,US,20529,Bronze,Churned,True,True,2023-03-27,2024-06-24
CUST-00011,Caleb,Russell,caleb.russell61@gmail.com,(603) 669-0967,1953-10-18,6688 Tracy Groves Suite 706,Elizabethfurt,VA,US,22133,Silver,New,True,False,2022-06-09,2024-08-03
CUST-00012,Samantha,Hooper,samantha.hooper9@gmail.com,(699) 016-2720,1967-10-13,75564 King Common Suite 080,Jeffreyland,WI,US,85927,Silver,Churned,True,False,2022-05-27,2022-07-04
CUST-00013,Anthony,Wright,anthony.wright20@yahoo.com,(923) 271-9374,1995-08-27,912 Rodriguez Burg,Barbarafurt,MO,US,94219,Bronze,High Value,True,False,2023-10-10,2024-01-06
CUST-00014,Brittany,Rivas,brittany.rivas90@outlook.com,(491) 905-8651,1981-04-20,67165 Zimmerman Mews Apt. 849,Marshallshire,KY,US,42746,Silver,Regular,True,True,2021-02-02,2024-06-02
CUST-00015,Mariah,Miller,mariah.miller15@yahoo.com,(379) 965-0752,1980-04-15,5494 Zachary Field Apt. 367,Lake Thomas,VT,US,64833,Platinum,New,False,False,2023-12-18,2024-06-04
CUST-00016,Andre,Phillips,andre.phillips87@hotmail.com,(349) 578-8568,1971-09-01,4431 Leslie Summit Apt. 337,Jennyhaven,PA,US,37594,Bronze,High Value,False,True,2021-10-26,2024-12-08
CUST-00017,Marissa,Phillips,marissa.phillips81@yahoo.com,(408) 240-0842,1988-07-22,09477 Peterson Center Suite 711,Vasquezshire,SC,US,90475,Bronze,At Risk,True,True,2021-08-15,2021-10-20
CUST-00018,Edward,Hart,edward.hart16@icloud.com,(318) 699-9386,1978-04-02,9649 Chelsea Streets Apt. 334,East Johnside,CA,US,21018,Silver,Regular,True,False,2021-05-13,2021-05-16
CUST-00019,Shannon,Wheeler,shannon.wheeler65@outlook.com,(344) 713-4936,1959-10-14,242 Brian Turnpike,Brookeshire,PW,US,38329,Bronze,Regular,True,True,2021-04-23,2022-12-05
CUST-00020,Taylor,Torres,taylor.torres47@hotmail.com,(488) 771-9065,1986-09-05,39904 Kathryn Extensions,Stonemouth,PW,US,36959,Silver,Regular,True,True,2021-10-22,2022-05-21
CUST-00021,Brenda,Walters,brenda.walters35@icloud.com,(175) 655-1256,1991-08-17,680 Miller Glen Suite 168,Lake Mollymouth,MT,US,07605,Gold,Regular,True,True,2022-03-18,2022-09-25
CUST-00022,Michael,Avila,michael.avila94@icloud.com,(034) 824-7710,2006-12-30,248 Andrea Course,Port Robin,NH,US,15897,Bronze,At Risk,True,False,2022-10-23,2024-03-24
